Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
3/30/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/29/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/28/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/27/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/26/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/25/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/24/23,8210.00,0.00,0.00,8210.00,656.26,7553.74,92.01%,0.00
3/23/23,480.00,0.00,0.00,480.00,0.00,480.00,100.00%,0.00
3/22/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/21/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/20/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/19/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/18/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/17/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/16/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/15/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/14/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/13/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/12/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/11/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/10/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/9/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/8/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/7/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/6/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/5/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/4/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/3/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/2/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
3/1/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/28/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/27/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/26/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/25/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/24/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/23/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/22/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/21/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/20/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/19/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/18/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/17/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/16/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/15/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/14/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/13/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/12/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/11/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/10/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/9/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/8/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/7/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/6/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/5/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/4/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/3/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/2/23,540.00,0.00,0.00,540.00,0.00,540.00,100.00%,0.00
2/1/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/31/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/30/23,1280.00,0.00,0.00,1280.00,0.00,1280.00,100.00%,0.00
1/29/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/28/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/27/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/26/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/25/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/24/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/23/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/22/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/21/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/20/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/19/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/18/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/17/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/16/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/15/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/14/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/13/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/12/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/11/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/10/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/9/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/8/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/7/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/6/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/5/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/4/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/3/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
1/2/23,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
